customer_id,transaction_id,violation_type,article_reference,details
CUST00004,TXN05636,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00004
CUST00657,TXN09792,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00657
CUST00668,TXN01114,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00668
CUST00672,TXN06996,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00672
CUST00690,TXN06163,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00690
CUST00705,TXN00551,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00705
CUST00725,TXN04749,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00725
CUST00731,TXN07279,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00731
CUST00759,TXN05549,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00759
CUST00773,TXN01640,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00773
CUST00786,TXN08197,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00786
CUST00790,TXN06026,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00790
CUST00793,TXN03858,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00793
CUST00809,TXN00674,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00809
CUST00810,TXN08691,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00810
CUST00811,TXN07047,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00811
CUST00835,TXN03962,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00835
CUST00837,TXN03299,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00837
CUST00843,TXN07739,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00843
CUST00845,TXN00298,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00845
CUST00856,TXN08517,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00856
CUST00860,TXN08542,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00860
CUST00875,TXN00407,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00875
CUST00886,TXN07613,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00886
CUST00900,TXN07087,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00900
CUST00903,TXN01030,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00903
CUST00915,TXN05500,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00915
CUST00919,TXN02856,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00919
CUST00921,TXN02808,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00921
CUST00938,TXN05568,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00938
CUST00960,TXN02737,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00960
CUST00964,TXN05315,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00964
CUST00965,TXN05210,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00965
CUST00975,TXN08279,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00975
CUST00976,TXN01364,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00976
CUST01002,TXN04221,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01002
CUST01011,TXN03688,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01011
CUST01019,TXN01469,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01019
CUST01046,TXN01856,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01046
CUST01048,TXN00581,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01048
CUST01060,TXN01490,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01060
CUST01067,TXN08742,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01067
CUST01070,TXN03117,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01070
CUST01076,TXN04832,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01076
CUST01084,TXN01743,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01084
CUST01094,TXN04029,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01094
CUST01098,TXN02258,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01098
CUST01115,TXN05072,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01115
CUST01135,TXN06114,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01135
CUST01147,TXN03634,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01147
CUST01149,TXN02011,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01149
CUST01151,TXN05138,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01151
CUST01153,TXN04170,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01153
CUST01171,TXN04423,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01171
CUST01187,TXN00160,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01187
CUST01220,TXN08307,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01220
CUST01233,TXN06905,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01233
CUST01283,TXN07436,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01283
CUST01305,TXN03642,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01305
CUST01315,TXN06089,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01315
CUST01329,TXN00175,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01329
CUST01350,TXN04414,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01350
CUST01380,TXN07658,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01380
CUST01382,TXN01589,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01382
CUST01388,TXN07732,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01388
CUST01427,TXN05318,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01427
CUST01430,TXN03520,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01430
CUST01440,TXN01135,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01440
CUST01445,TXN01835,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01445
CUST01511,TXN08670,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01511
CUST01515,TXN09669,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01515
CUST01533,TXN06359,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01533
CUST01539,TXN03829,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01539
CUST01547,TXN07592,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01547
CUST01558,TXN07330,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01558
CUST01573,TXN03103,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01573
CUST01594,TXN03084,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01594
CUST01598,TXN04666,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01598
CUST01630,TXN06865,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01630
CUST01641,TXN07393,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01641
CUST01650,TXN03061,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01650
CUST01663,TXN04395,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01663
CUST01670,TXN09562,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01670
CUST01683,TXN00359,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01683
CUST01700,TXN00871,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01700
CUST01708,TXN03590,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01708
CUST01712,TXN00841,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01712
CUST01715,TXN00933,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01715
CUST01719,TXN00035,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01719
CUST01728,TXN03437,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01728
CUST01730,TXN05357,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01730
CUST01731,TXN02690,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01731
CUST01732,TXN08116,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01732
CUST01751,TXN08100,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01751
CUST01767,TXN02043,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01767
CUST01769,TXN04096,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01769
CUST01773,TXN00802,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01773
CUST01799,TXN00882,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01799
CUST01838,TXN08515,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01838
CUST01842,TXN04162,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01842
CUST01848,TXN09796,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01848
CUST01875,TXN06482,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01875
CUST01877,TXN08412,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01877
CUST01883,TXN02401,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01883
CUST01887,TXN08754,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01887
CUST01915,TXN09640,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01915
CUST01921,TXN07227,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01921
CUST01934,TXN07587,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01934
CUST01943,TXN09402,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01943
CUST01956,TXN09560,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01956
CUST01957,TXN05883,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01957
CUST01959,TXN02654,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01959
CUST01975,TXN09656,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01975
CUST01986,TXN09365,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01986
CUST01988,TXN01157,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01988
CUST01990,TXN08833,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01990
CUST01994,TXN04377,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST01994
CUST02001,TXN06556,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02001
CUST02026,TXN04116,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02026
CUST02036,TXN06524,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02036
CUST02055,TXN08362,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02055
CUST02102,TXN03779,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02102
CUST02103,TXN00200,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02103
CUST02107,TXN08971,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02107
CUST02117,TXN01438,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02117
CUST02124,TXN08467,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02124
CUST02136,TXN01213,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02136
CUST02140,TXN06456,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02140
CUST02142,TXN03682,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02142
CUST02158,TXN02580,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02158
CUST02169,TXN06521,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02169
CUST02170,TXN05667,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02170
CUST02172,TXN03494,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02172
CUST02195,TXN07785,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02195
CUST02203,TXN07232,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02203
CUST02233,TXN00269,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02233
CUST02240,TXN00773,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02240
CUST02321,TXN05086,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02321
CUST02337,TXN02074,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02337
CUST02366,TXN08127,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02366
CUST02376,TXN02159,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02376
CUST02382,TXN06630,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02382
CUST02384,TXN07475,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02384
CUST02393,TXN02495,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02393
CUST02394,TXN09457,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02394
CUST02405,TXN05644,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02405
CUST02410,TXN07000,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02410
CUST02412,TXN05005,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02412
CUST02413,TXN00413,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02413
CUST02418,TXN08943,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02418
CUST02423,TXN02028,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02423
CUST02435,TXN01956,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02435
CUST02438,TXN09636,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02438
CUST02442,TXN06299,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02442
CUST02450,TXN03787,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02450
CUST02463,TXN07797,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02463
CUST02467,TXN04217,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02467
CUST02475,TXN04361,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02475
CUST02477,TXN00645,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02477
CUST02522,TXN02843,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02522
CUST02565,TXN08318,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02565
CUST02570,TXN01331,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02570
CUST02572,TXN00147,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02572
CUST02592,TXN09313,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02592
CUST02593,TXN06592,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02593
CUST02596,TXN03696,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02596
CUST02598,TXN09431,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02598
CUST02602,TXN07708,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02602
CUST02637,TXN00885,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02637
CUST02661,TXN09400,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02661
CUST02693,TXN08207,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02693
CUST02734,TXN05700,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02734
CUST02777,TXN03224,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02777
CUST02806,TXN09681,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02806
CUST02808,TXN06386,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02808
CUST02818,TXN05889,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02818
CUST02850,TXN07716,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02850
CUST02858,TXN08043,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02858
CUST02863,TXN08667,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02863
CUST02867,TXN09574,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02867
CUST02877,TXN01406,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02877
CUST02919,TXN03247,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02919
CUST02922,TXN08630,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02922
CUST02923,TXN02945,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02923
CUST02932,TXN05858,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02932
CUST02938,TXN04767,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02938
CUST02942,TXN07587,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02942
CUST02945,TXN03455,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02945
CUST02949,TXN08128,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02949
CUST02953,TXN03537,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02953
CUST02971,TXN06970,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST02971
CUST03012,TXN09730,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03012
CUST03037,TXN07836,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03037
CUST03039,TXN03761,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03039
CUST03054,TXN07369,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03054
CUST03057,TXN07706,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03057
CUST03070,TXN08476,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03070
CUST03083,TXN05747,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03083
CUST03103,TXN05723,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03103
CUST03114,TXN05126,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03114
CUST03126,TXN06228,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03126
CUST03127,TXN04923,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03127
CUST03128,TXN04214,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03128
CUST03146,TXN06321,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03146
CUST03176,TXN08699,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03176
CUST03212,TXN04041,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03212
CUST03214,TXN04528,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03214
CUST03234,TXN03580,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03234
CUST03240,TXN00452,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03240
CUST03241,TXN06535,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03241
CUST03262,TXN02116,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03262
CUST03300,TXN01972,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03300
CUST03316,TXN07191,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03316
CUST03337,TXN02034,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03337
CUST03353,TXN07283,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03353
CUST03358,TXN00435,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03358
CUST03362,TXN05718,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST03362
